age,min_recommended,max_recommended,may_be_appropriate_min,may_be_appropriate_max,min_not_recommended,max_not_recommended
420,7,9,6,10,6,10
421,7,9,6,10,6,10
422,7,9,6,10,6,10
423,7,9,6,10,6,10
424,7,9,6,10,6,10
425,7,9,6,10,6,10
426,7,9,6,10,6,10
427,7,9,6,10,6,10
428,7,9,6,10,6,10
429,7,9,6,10,6,10
430,7,9,6,10,6,10
431,7,9,6,10,6,10
432,7,9,6,10,6,10
433,7,9,6,10,6,10
434,7,9,6,10,6,10
435,7,9,6,10,6,10
436,7,9,6,10,6,10
437,7,9,6,10,6,10
438,7,9,6,10,6,10
439,7,9,6,10,6,10
440,7,9,6,10,6,10
441,7,9,6,10,6,10
442,7,9,6,10,6,10
443,7,9,6,10,6,10
444,7,9,6,10,6,10
445,7,9,6,10,6,10
446,7,9,6,10,6,10
447,7,9,6,10,6,10
448,7,9,6,10,6,10
449,7,9,6,10,6,10
450,7,9,6,10,6,10
451,7,9,6,10,6,10
452,7,9,6,10,6,10
453,7,9,6,10,6,10
454,7,9,6,10,6,10
455,7,9,6,10,6,10
456,7,9,6,10,6,10
457,7,9,6,10,6,10
458,7,9,6,10,6,10
459,7,9,6,10,6,10
460,7,9,6,10,6,10
461,7,9,6,10,6,10
462,7,9,6,10,6,10
463,7,9,6,10,6,10
464,7,9,6,10,6,10
465,7,9,6,10,6,10
466,7,9,6,10,6,10
467,7,9,6,10,6,10
468,7,9,6,10,6,10
469,7,9,6,10,6,10
470,7,9,6,10,6,10
471,7,9,6,10,6,10
472,7,9,6,10,6,10
473,7,9,6,10,6,10
474,7,9,6,10,6,10
475,7,9,6,10,6,10
476,7,9,6,10,6,10
477,7,9,6,10,6,10
478,7,9,6,10,6,10
479,7,9,6,10,6,10
480,7,9,6,10,6,10
481,7,9,6,10,6,10
482,7,9,6,10,6,10
483,7,9,6,10,6,10
484,7,9,6,10,6,10
485,7,9,6,10,6,10
486,7,9,6,10,6,10
487,7,9,6,10,6,10
488,7,9,6,10,6,10
489,7,9,6,10,6,10
490,7,9,6,10,6,10
491,7,9,6,10,6,10
492,7,9,6,10,6,10
493,7,9,6,10,6,10
494,7,9,6,10,6,10
495,7,9,6,10,6,10
496,7,9,6,10,6,10
497,7,9,6,10,6,10
498,7,9,6,10,6,10
499,7,9,6,10,6,10
500,7,9,6,10,6,10
501,7,9,6,10,6,10
502,7,9,6,10,6,10
503,7,9,6,10,6,10
504,7,9,6,10,6,10
505,7,9,6,10,6,10
506,7,9,6,10,6,10
507,7,9,6,10,6,10
508,7,9,6,10,6,10
509,7,9,6,10,6,10
510,7,9,6,10,6,10
511,7,9,6,10,6,10
512,7,9,6,10,6,10
513,7,9,6,10,6,10
514,7,9,6,10,6,10
515,7,9,6,10,6,10
516,7,9,6,10,6,10
517,7,9,6,10,6,10
518,7,9,6,10,6,10
519,7,9,6,10,6,10
520,7,9,6,10,6,10
521,7,9,6,10,6,10
522,7,9,6,10,6,10
523,7,9,6,10,6,10
524,7,9,6,10,6,10
525,7,9,6,10,6,10
526,7,9,6,10,6,10
527,7,9,6,10,6,10
528,7,9,6,10,6,10
529,7,9,6,10,6,10
530,7,9,6,10,6,10
531,7,9,6,10,6,10
532,7,9,6,10,6,10
533,7,9,6,10,6,10
534,7,9,6,10,6,10
535,7,9,6,10,6,10
536,7,9,6,10,6,10
537,7,9,6,10,6,10
538,7,9,6,10,6,10
539,7,9,6,10,6,10
540,7,9,6,10,6,10
541,7,9,6,10,6,10
542,7,9,6,10,6,10
543,7,9,6,10,6,10
544,7,9,6,10,6,10
545,7,9,6,10,6,10
546,7,9,6,10,6,10
547,7,9,6,10,6,10
548,7,9,6,10,6,10
549,7,9,6,10,6,10
550,7,9,6,10,6,10
551,7,9,6,10,6,10
552,7,9,6,10,6,10
553,7,9,6,10,6,10
554,7,9,6,10,6,10
555,7,9,6,10,6,10
556,7,9,6,10,6,10
557,7,9,6,10,6,10
558,7,9,6,10,6,10
559,7,9,6,10,6,10
560,7,9,6,10,6,10
561,7,9,6,10,6,10
562,7,9,6,10,6,10
563,7,9,6,10,6,10
564,7,9,6,10,6,10
565,7,9,6,10,6,10
566,7,9,6,10,6,10
567,7,9,6,10,6,10
568,7,9,6,10,6,10
569,7,9,6,10,6,10
570,7,9,6,10,6,10
571,7,9,6,10,6,10
572,7,9,6,10,6,10
573,7,9,6,10,6,10
574,7,9,6,10,6,10
575,7,9,6,10,6,10
576,7,9,6,10,6,10
577,7,9,6,10,6,10
578,7,9,6,10,6,10
579,7,9,6,10,6,10
580,7,9,6,10,6,10
581,7,9,6,10,6,10
582,7,9,6,10,6,10
583,7,9,6,10,6,10
584,7,9,6,10,6,10
585,7,9,6,10,6,10
586,7,9,6,10,6,10
587,7,9,6,10,6,10
588,7,9,6,10,6,10
589,7,9,6,10,6,10
590,7,9,6,10,6,10
591,7,9,6,10,6,10
592,7,9,6,10,6,10
593,7,9,6,10,6,10
594,7,9,6,10,6,10
595,7,9,6,10,6,10
596,7,9,6,10,6,10
597,7,9,6,10,6,10
598,7,9,6,10,6,10
599,7,9,6,10,6,10
600,7,9,6,10,6,10
601,7,9,6,10,6,10
602,7,9,6,10,6,10
603,7,9,6,10,6,10
604,7,9,6,10,6,10
605,7,9,6,10,6,10
606,7,9,6,10,6,10
607,7,9,6,10,6,10
608,7,9,6,10,6,10
609,7,9,6,10,6,10
610,7,9,6,10,6,10
611,7,9,6,10,6,10
612,7,9,6,10,6,10
613,7,9,6,10,6,10
614,7,9,6,10,6,10
615,7,9,6,10,6,10
616,7,9,6,10,6,10
617,7,9,6,10,6,10
618,7,9,6,10,6,10
619,7,9,6,10,6,10
620,7,9,6,10,6,10
621,7,9,6,10,6,10
622,7,9,6,10,6,10
623,7,9,6,10,6,10
624,7,9,6,10,6,10
625,7,9,6,10,6,10
626,7,9,6,10,6,10
627,7,9,6,10,6,10
628,7,9,6,10,6,10
629,7,9,6,10,6,10
630,7,9,6,10,6,10
631,7,9,6,10,6,10
632,7,9,6,10,6,10
633,7,9,6,10,6,10
634,7,9,6,10,6,10
635,7,9,6,10,6,10
636,7,9,6,10,6,10
637,7,9,6,10,6,10
638,7,9,6,10,6,10
